student_id,name,age,city,python_marks,sql_marks,pandas_marks,attendance,total_marks,average_marks
101,Aarav,22,Bengaluru,74,67,64,71,205,68.33
102,Aditi,23,Bengaluru,63,75,94,93,232,77.33
103,Ananya,21,Kolkata,99,93,50,92,242,80.67
104,Bhavya,23,Delhi,58,83,74,82,215,71.67
105,Chetan,23,Hyderabad,75,59,56,83,190,63.33
106,Deepak,20,Hyderabad,51,85,58,96,194,64.67
107,Divya,21,Kolkata,69,63,73,94,205,68.33
108,Gaurav,21,Chennai,77,80,50,99,207,69.0
109,Ishaan,21,Chennai,96,97,93,81,286,95.33
110,Kavya,23,Kolkata,56,64,57,86,177,59.0
111,Manish,22,Chennai,93,57,73,94,223,74.33
112,Neha,21,Bengaluru,57,63,60,60,180,60.0
113,Nitin,23,Hyderabad,96,72,66,94,234,78.0
114,Pooja,20,Kolkata,84,89,57,96,230,76.67
115,Pranav,22,Hyderabad,63,70,84,73,217,72.33
116,Priya,20,Mumbai,66,65,84,62,215,71.67
117,Rahul,22,Bengaluru,85,94,82,60,261,87.0
118,Riya,23,Pune,99,67,54,64,220,73.33
119,Rohan,19,Bengaluru,89,96,91,85,276,92.0
120,Sakshi,22,Kolkata,53,73,88,73,214,71.33
121,Siddharth,20,Pune,51,75,90,98,216,72.0
122,Sneha,23,Mumbai,55,74,77,86,206,68.67
123,Tanvi,22,Kolkata,91,94,56,68,241,80.33
124,Varun,19,Delhi,53,90,58,74,201,67.0
125,Yash,19,Hyderabad,78,78,57,74,213,71.0
