student_id,name,age,city,python_marks,sql_marks,pandas_marks,attendance
101,Aarav,22,Bengaluru,74,67,64,71
102,Aditi,23,Bengaluru,63,75,94,93
103,Ananya,21,Kolkata,99,93,50,92
104,Bhavya,23,Delhi,58,83,74,82
105,Chetan,23,Hyderabad,75,59,56,83
106,Deepak,20,Hyderabad,51,85,58,96
107,Divya,21,Kolkata,69,63,73,94
108,Gaurav,21,Chennai,77,80,50,99
109,Ishaan,21,Chennai,96,97,93,81
110,Kavya,23,Kolkata,56,64,57,86
111,Manish,22,Chennai,93,57,73,94
112,Neha,21,Bengaluru,57,63,60,60
113,Nitin,23,Hyderabad,96,72,66,94
114,Pooja,20,Kolkata,84,89,57,96
115,Pranav,22,Hyderabad,63,70,84,73
116,Priya,20,Mumbai,66,65,84,62
117,Rahul,22,Bengaluru,85,94,82,60
118,Riya,23,Pune,99,67,54,64
119,Rohan,19,Bengaluru,89,96,91,85
120,Sakshi,22,Kolkata,53,73,88,73
121,Siddharth,20,Pune,51,75,90,98
122,Sneha,23,Mumbai,55,74,77,86
123,Tanvi,22,Kolkata,91,94,56,68
124,Varun,19,Delhi,53,90,58,74
125,Yash,19,Hyderabad,78,78,57,74
