customer_id,name,age,city,email,purchase_amount,rating
1001.0,deepak,46,hyd,user_1@example.com,3872,5.0
1002.0,deepak,36,hyd,user_2@example.com,4526,3.0
1003.0, Tanvi   ,53,Hyderabad,user_3@example.com,230,
1004.0,nan,19,Hyderabad,user_4@example.com,2533,4.0
1005.0,nan,50,nan,user_5@example.com,3485,
1006.0,nan,61,  mumbai  ,user_6@example.com,574,3.0
1007.0,deepak,59,Hyderabad,user_7@example.com,2847,
1008.0,SNEHA patel,64,CHENNAI ,USER_8@EXAMPLE.COM ,4758,4.0
1009.0,deepak,20, pune ,user_9@example.com,3990,5.0
1010.0,  aArAv sharma ,twenty,DELHI,user_10@example.com,2535,1.0
1011.0,rahul  ,31,DELHI,user_11@example.com,2141,1.0
1012.0,riya VERMA,19,nan,user_12@example.com,,4.0
1013.0,deepak,24,nan,user_13@example.com,2656,3.0
1014.0,SNEHA patel,34,nan,user_14@example.com,1685,4.0
,riya VERMA,23,CHENNAI ,user_15@example.com,3943,
1016.0,nan,35,DELHI,USER_16@EXAMPLE.COM ,261,2.0
1017.0,SNEHA patel,53,CHENNAI ,user_17@example.com,3442,
1018.0,deepak,57, pune ,user_18@example.com,437,5.0
1019.0, Tanvi   ,43,  mumbai  ,user_19@example.com,4959,4.0
1020.0,rahul  ,twenty,  mumbai  ,user_20@example.com,2162,5.0
1021.0,  aArAv sharma ,42,hyd,user_21@example.com,2668,1.0
1022.0,rahul  ,25,Hyderabad,user_22@example.com,491,3.0
1023.0,  Kavya ,50,bengaluru,user_23@example.com,3661,2.0
1024.0,  aArAv sharma ,45,hyd,USER_24@EXAMPLE.COM ,,1.0
1025.0, Tanvi   ,29,DELHI,user_25@example.com,3204,
1026.0, Tanvi   ,54,bengaluru,user_26@example.com,2831,
1027.0,  Kavya ,52,  mumbai  ,user_27@example.com,2790,1.0
1028.0,nan,43,hyd,user_28@example.com,4593,3.0
1029.0,  aArAv sharma ,32,hyd,user_29@example.com,1584,3.0
,deepak,nan,hyd,user_30@example.com,663,5.0
1031.0, Tanvi   ,21,CHENNAI ,user_31@example.com,1778,3.0
1032.0,nan,53, pune ,USER_32@EXAMPLE.COM ,1822,3.0
1033.0,SNEHA patel,45,DELHI,user_33@example.com,2829,5.0
1034.0,SNEHA patel,23,nan,user_34@example.com,3727,4.0
1035.0,SNEHA patel,28,Hyderabad,user_35@example.com,1629,4.0
1036.0,  aArAv sharma ,56,CHENNAI ,user_36@example.com,,1.0
1037.0,  aArAv sharma ,44,CHENNAI ,user_37@example.com,2775,5.0
1038.0,  aArAv sharma ,20,hyd,user_38@example.com,809,3.0
1039.0,  aArAv sharma ,54,  mumbai  ,user_39@example.com,4879,3.0
1040.0,SNEHA patel,nan,Hyderabad,USER_40@EXAMPLE.COM ,1595,1.0
1041.0,rahul  ,29,CHENNAI ,user_41@example.com,3557,3.0
1042.0,  aArAv sharma ,54,  mumbai  ,user_42@example.com,3099,1.0
1043.0,  Kavya ,19,DELHI,user_43@example.com,954,5.0
1044.0, Tanvi   ,50,  mumbai  ,user_44@example.com,3574,
,riya VERMA,61,DELHI,user_45@example.com,1833,4.0
1046.0,deepak,28,Hyderabad,user_46@example.com,4318,1.0
1047.0,deepak,55,Hyderabad,user_47@example.com,3031,2.0
